"VEHICLE_HAL_ID";"VEHICLE_MODEL_TYPE";"VEHICLE_MANUFACTURER_NAME";"VEHICLE_MODEL_NAME";"VEHICLE_TYPE_NAME";"VIN";"REGISTRATION_PLATE";"SERIAL_NUMBER";"KW";"FUEL_TYPE_NAME";"OWNERSHIP_TYPE";"CAPACITY_AMOUNT";"ACCESS_CONTROL_COMPONENT_TYPE";"COMPANY";"COMPANY_GROUP"
"149272";"Auto";"Ford";"Ka";"1,2 Super 51kW NAVI";"WF0UXXLTRUBU20370";"F-R 7254";"";"51";"Super E10";"Langzeitmiete";"35 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"148448";"Auto";"Ford";"Ka";"1,2 Super 51kW";"WF0UXXLTRUBL89360";"F-R 8997";"";"51";"Super E10";"Langzeitmiete";"35 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"149998";"Auto";"Mercedes";"C-Klasse";"200 Diesel 100kW NAVI";"WDD2042011F883109";"F-R 7593";"";"100";"Diesel";"Langzeitmiete";"66 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"150157";"Auto";"Ford";"Ka";"1.3 Diesel 55kW NAVI";"WF0UXXLTRUCG58753";"F-R 7680";"";"55";"Diesel";"Langzeitmiete";"35 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"149929";"Auto";"Opel";"Ampera";"1,4 HYBRID 111kW NAVI Automatik";"1G0R86E49CU106424";"F-DB 630";"";"111";"Plug In (Strom, Super)";"Langzeitmiete";"35 kWh";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"149016";"Auto";"Ford";"Ka";"1,2 Super 51kW NAVI";"WF0UXXLTRUBJ13346";"F-R 7143";"";"51";"Super E10";"Langzeitmiete";"";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"150199";"Auto";"Ford";"Ka";"1,3 Diesel 55kW NAVI";"WF0UXXLTRUCG58768";"F-R 7682";"";"55";"Diesel";"Langzeitmiete";"35 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"150302";"Auto";"Opel";"Corsa";"1,3 Diesel 70KW NAVI";"W0L0SDL68C4202643";"F-R 7734";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"150867";"Auto";"Opel";"Corsa";"1.3 Diesel 70kW NAVI";"W0L0SDL68D4036554";"F-R 7873";"";"70";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"150204";"Auto";"Ford";"Ka";"1,3 Diesel 55kW NAVI";"WF0UXXLTRUCG58760";"F-R 7681";"";"55";"Diesel";"Langzeitmiete";"35 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"150303";"Auto";"Opel";"Corsa";"1,3 Diesel 70KW NAVI";"W0L0SDL68C4201500";"F-R 7735";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"151136";"Auto";"Mercedes";"Vito";"116 Diesel 120kW extralang";"WDF63960513787756";"F-R 7968";"";"120";"Diesel";"Langzeitmiete";"75 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"150866";"Auto";"Opel";"Corsa";"1.3 Diesel 70kW NAVI";"W0L0SDL68D4038033";"F-R 7861";"";"70";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"151127";"Auto";"Opel";"Astra";"1,7 Diesel 81kW NAVI";"W0LPD8EK9D8019907";"F-R 7966";"";"81";"Diesel";"Langzeitmiete";"55 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147993";"Auto";"Ford";"Mondeo";"2,0 Diesel 85kW NAVI";"WF0GXXGBBGBC48384";"F-R 8604";"";"85";"Diesel";"Langzeitmiete";"55 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147994";"Auto";"Ford";"Mondeo";"2,0 Diesel 85kW NAVI";"WF0GXXGBBGBC48385";"F-R 8993";"";"85";"Diesel";"Langzeitmiete";"55 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"148072";"Auto";"Ford";"Mondeo";"2,0 Diesel 85kW NAVI";"WF0GXXGBBGBC48374";"F-R 8557";"";"85";"Diesel";"Langzeitmiete";"55 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"148282";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAvI";"WF0JXXGAJJBE29620";"F-R 8860";"";"70";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"148618";"Auto";"Ford";"Ka";"1,2 Super 51kW";"WF0UXXLTRUBS04282";"F-R 9075";"";"51";"Super E10";"Langzeitmiete";"35 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"148666";"Auto";"Ford";"Ka";"1,2 Super 51kW";"WF0UXXLTRUBS04291";"F-R 9086";"";"51";"Super E10";"Langzeitmiete";"35 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
